,Name,Location,Company Size,Company Type
185,Pvizion,Delhi,"Company size
2-10 employees","Industry
KPO/Research"
186,Carillon Media,Bangalore,"Company size
2-10 employees","Industry
KPO/Research"
187,IntelliIndia,Vijayawada,"Company size
2-10 employees","Industry
KPO/Research"
188,ANKA Insights,Delhi,"Company size
2-10 employees","Industry
KPO/Research"
189,DSCHOLAR RESEARCH CONSULTANCY AND ANALYTICS (OPC) PRIVATE LIMITED,West Tripura,"Company size
2-10 employees","Industry
KPO/Research"
190,Power Peak Digest,Delhi,"Company size
2-10 employees","Industry
KPO/Research"
191,Satvik Solutions,Ludhiana,"Company size
2-10 employees","Industry
KPO/Research"
192,RocSigma Consulting Group,Noida,"Company size
2-10 employees","Industry
KPO/Research"
193,B R MANDOWARA & CO,Ahmedabad,"Company size
2-10 employees","Industry
KPO/Research"
194,Salecline Business Solutions LLP,Mumbai,"Company size
2-10 employees","Industry
KPO/Research"
195,Antriksh Labs Private Limited,Karnataka,"Company size
2-10 employees","Industry
KPO/Research"
196,JANATHA HEALTH INNOVATIVE TECHNOLOGY RESEARCH,Hyderabad,"Company size
2-10 employees","Industry
KPO/Research"
197,TENFOLD Data & Facts,Delhi,"Company size
2-10 employees","Industry
KPO/Research"
198,B4 Research Labs,Delhi,"Company size
2-10 employees","Industry
KPO/Research"
199,DSET CONSULTING PRIVATE LIMITED,Bangalore,"Company size
2-10 employees","Industry
KPO/Research"
200,Conglorean Datalabs & Media Private Limited,Bangalore,"Company size
2-10 employees","Industry
KPO/Research"
201,Research MD,Vadodara,"Company size
2-10 employees","Industry
KPO/Research"
202,Smart BookServe,Coimbatore,"Company size
2-10 employees","Industry
KPO/Research"
203,Legal Ashaa,Raipur,"Company size
2-10 employees","Industry
KPO/Research"
204,Cascone LLP,Ghaziabad,"Company size
2-10 employees","Industry
KPO/Research"
205,Truinvest,Gurgaon,"Company size
2-10 employees","Industry
KPO/Research"
206,Oriontcs Private Limited,Delhi,"Company size
2-10 employees","Industry
KPO/Research"
207,Eternal Markets,Pune,"Company size
2-10 employees","Industry
KPO/Research"
208,RB & Co.,Mumbai,"Company size
2-10 employees","Industry
KPO/Research"
209,TNQ Tech Pvt Ltd,Chennai,"Company size
2-10 employees","Industry
KPO/Research"
210,Hubsite Survey,Noida,"Company size
2-10 employees","Industry
KPO/Research"
211,BTX City,Ghaziabad,"Company size
2-10 employees","Industry
KPO/Research"
212,Climate And Sustainability Initiative,Delhi,"Company size
2-10 employees","Industry
KPO/Research"
213,Shubanaryan Edutainment LLP,Kolkata,"Company size
2-10 employees","Industry
KPO/Research"
214,Synco Partners,Gurgaon,"Company size
2-10 employees","Industry
KPO/Research"
215,SATORU FOUNDATION,Hyderabad,"Company size
2-10 employees","Industry
KPO/Research"
216,Entelect Techsol LLP,Delhi,"Company size
2-10 employees","Industry
KPO/Research"
217,Acuitas Health Analytics,Ahmedabad,"Company size
2-10 employees","Industry
KPO/Research"
218,Geckobotics Research And Development LLP,Pune,"Company size
2-10 employees","Industry
KPO/Research"
219,ISTK Minute Verify Pvt. Ltd.,Aligarh,"Company size
2-10 employees","Industry
KPO/Research"
220,SAZAG INFOTECH PRIVATE LIMITED,Delhi,"Company size
2-10 employees","Industry
KPO/Research"
221,Legal Setup,Delhi,"Company size
2-10 employees","Industry
KPO/Research"
222,AERO FEDERATION OF INDIA,Delhi,"Company size
2-10 employees","Industry
KPO/Research"
223,Abki Solutions Private Limited,Mumbai,"Company size
2-10 employees","Industry
KPO/Research"
224,MitovoidAI,Gurgaon,"Company size
2-10 employees","Industry
KPO/Research"
225,Daily Law Times Private Limited,Rajsamand,"Company size
2-10 employees","Industry
KPO/Research"
226,Livingstone Institute Of Future Technologies,Noida,"Company size
2-10 employees","Industry
KPO/Research"
227,CSS EDTECH,Anantapur,"Company size
2-10 employees","Industry
KPO/Research"
228,Meukron Technologies,Bangalore,"Company size
2-10 employees","Industry
KPO/Research"
229,Fraunhofer Gesellschaft,Chennai,"Company size
2-10 employees","Industry
KPO/Research"
230,The Naarad,Delhi,"Company size
2-10 employees","Industry
KPO/Research"
231,Chithiram Data Management Solutions,Chennai,"Company size
2-10 employees","Industry
KPO/Research"
232,Three Box Solution Private Limited,Gurgaon,"Company size
2-10 employees","Industry
KPO/Research"
233,Impacto Asia,Gurgaon,"Company size
2-10 employees","Industry
KPO/Research"
234,Being Billionaire Consultancy Services Private Limited,Lucknow,"Company size
2-10 employees","Industry
KPO/Research"
235,Stenzo Tech,Ahmedabad,"Company size
2-10 employees","Industry
KPO/Research"
236,Greenin Urja,Vikasnagar,"Company size
2-10 employees","Industry
KPO/Research"
237,Son Chidiya Udd Labs,Delhi,"Company size
2-10 employees","Industry
KPO/Research"
238,Chachria Verse Pvt Ltd,Indore,"Company size
2-10 employees","Industry
KPO/Research"
239,Siddharth  Baid,Ahmedabad,"Company size
2-10 employees","Industry
KPO/Research"
240,AJA & Co,Sri Ganganagar,"Company size
0-1 employees","Industry
KPO/Research"
241,ConnectHEOR Limited,Delhi,"Company size
0-1 employees","Industry
KPO/Research"
242,Institute Of Legal Research And Education,Mumbai,"Company size
0-1 employees","Industry
KPO/Research"
243,SMSAMS HUMANRESOURCE,Mylavaram,"Company size
0-1 employees","Industry
KPO/Research"
244,Biopractify Private Limited,Noida,"Company size
0-1 employees","Industry
KPO/Research"
245,HGS,Mumbai,"Company size
1000+ employees","Industry
KPO/Research"
246,Siemens,Bangalore,"Company size
1000+ employees","Industry
KPO/Research"
247,CORSEARCH,Mumbai,"Company size
1000+ employees","Industry
KPO/Research"
248,Viaan Technologies P Limited,Ahmedabad,"Company size
501-1000 employees","Industry
KPO/Research"
249,Corient Business Solutions Private Limited,Mumbai,"Company size
501-1000 employees","Industry
KPO/Research"
250,Corient Business Solutions,Mumbai,"Company size
501-1000 employees","Industry
KPO/Research"
